Date,1 oz,,1/2 oz,,1/4 oz,
,Selling,Buying,Selling,Buying,Selling,Buying
24-Mar-21,"7,572","7,277","3,857","3,639","1,964","1,819"
25-Mar-21,"7,610","7,316","3,877","3,658","1,974","1,829"
26-Mar-21,"7,607","7,311","3,875","3,655","1,973","1,828"
29-Mar-21,"7,615","7,320","3,879","3,660","1,976","1,830"
30-Mar-21,"7,517","7,225","3,830","3,612","1,950","1,806"
31-Mar-21,"7,421","7,130","3,780","3,565","1,925","1,783"
01-Apr-21,"7,508","7,220","3,825","3,610","1,948","1,805"
02-Apr-21,"7,604","7,309","3,874","3,654","1,973","1,827"
05-Apr-21,"7,590","7,295","3,867","3,648","1,969","1,824"
06-Apr-21,"7,585","7,290","3,864","3,645","1,968","1,822"
07-Apr-21,"7,627","7,330","3,885","3,665","1,979","1,833"
08-Apr-21,"7,621","7,320","3,883","3,660","1,977","1,830"
09-Apr-21,"7,689","7,390","3,917","3,695","1,995","1,848"
12-Apr-21,"7,638","7,341","3,891","3,671","1,982","1,835"
13-Apr-21,"7,588","7,294","3,865","3,647","1,968","1,824"
14-Apr-21,"7,651","7,353","3,897","3,676","1,985","1,838"
15-Apr-21,"7,600","7,308","3,871","3,654","1,972","1,827"
16-Apr-21,"7,725","7,425","3,936","3,712","2,004","1,856"
19-Apr-21,"7,786","7,483","3,967","3,742","2,020","1,871"
20-Apr-21,"7,751","7,450","3,949","3,725","2,011","1,862"
21-Apr-21,"7,773","7,468","3,960","3,734","2,016","1,867"
22-Apr-21,"7,837","7,530","3,992","3,765","2,033","1,883"
23-Apr-21,"7,784","7,485","3,966","3,743","2,020","1,871"
26-Apr-21,"7,742","7,442","3,944","3,721","2,008","1,861"
27-Apr-21,"7,748","7,447","3,947","3,723","2,010","1,862"
28-Apr-21,"7,711","7,411","3,928","3,706","2,001","1,853"
30-Apr-21,"7,711","7,402","3,928","3,701","2,001","1,851"
03-May-21,"7,692","7,390","3,918","3,695","1,995","1,848"
04-May-21,"7,796","7,493","3,972","3,746","2,023","1,873"
05-May-21,"7,776","7,471","3,961","3,736","2,017","1,868"
06-May-21,"7,808","7,495","3,977","3,747","2,026","1,874"
10-May-21,"7,978","7,658","4,064","3,829","2,070","1,915"
11-May-21,"8,005","7,691","4,078","3,846","2,077","1,923"
12-May-21,"8,020","7,712","4,086","3,856","2,081","1,928"
17-May-21,"8,094","7,775","4,123","3,888","2,100","1,944"
18-May-21,"8,189","7,867","4,172","3,933","2,125","1,967"
19-May-21,"8,179","7,861","4,167","3,931","2,122","1,965"
20-May-21,"8,219","7,896","4,187","3,948","2,132","1,974"
21-May-21,"8,244","7,918","4,200","3,959","2,139","1,979"
24-May-21,"8,270","7,947","4,213","3,973","2,146","1,987"
25-May-21,"8,251","7,927","4,204","3,963","2,141","1,982"
27-May-21,"8,329","8,005","4,243","4,003","2,161","2,001"
28-May-21,"8,335","8,010","4,246","4,005","2,162","2,003"
31-May-21,"8,380","8,045","4,269","4,022","2,174","2,011"
01-Jun-21,"8,344","8,020","4,251","4,010","2,165","2,005"
02-Jun-21,"8,308","7,985","4,233","3,993","2,155","1,996"
03-Jun-21,"8,340","8,015","4,248","4,008","2,164","2,004"
04-Jun-21,"8,196","7,877","4,175","3,939","2,126","1,969"
08-Jun-21,"8,307","7,984","4,232","3,992","2,155","1,996"
09-Jun-21,"8,286","7,964","4,221","3,982","2,150","1,991"
10-Jun-21,"8,241","7,921","4,198","3,960","2,138","1,980"
11-Jun-21,"8,296","7,971","4,226","3,986","2,152","1,993"
14-Jun-21,"8,167","7,849","4,161","3,925","2,119","1,962"
15-Jun-21,"8,143","7,826","4,148","3,913","2,113","1,957"
16-Jun-21,"8,112","7,798","4,133","3,899","2,105","1,950"
17-Jun-21,"7,982","7,669","4,066","3,835","2,071","1,917"
18-Jun-21,"7,813","7,509","3,980","3,755","2,027","1,877"
21-Jun-21,"7,784","7,481","3,965","3,740","2,019","1,870"
22-Jun-21,"7,843","7,536","3,995","3,768","2,035","1,884"
23-Jun-21,"7,836","7,522","3,992","3,761","2,033","1,881"
24-Jun-21,"7,853","7,539","4,001","3,769","2,037","1,885"
25-Jun-21,"7,835","7,527","3,992","3,763","2,033","1,882"
29-Jun-21,"7,822","7,515","3,985","3,757","2,029","1,879"
30-Jun-21,"7,759","7,456","3,953","3,728","2,013","1,864"
01-Jul-21,"7,789","7,488","3,968","3,744","2,021","1,872"
05-Jul-21,"7,871","7,559","4,010","3,780","2,042","1,890"
06-Jul-21,"7,903","7,596","4,026","3,798","2,050","1,899"
07-Jul-21,"7,923","7,618","4,036","3,809","2,056","1,905"
08-Jul-21,"7,973","7,663","4,061","3,832","2,068","1,916"
09-Jul-21,"7,995","7,691","4,073","3,845","2,074","1,923"
12-Jul-21,"8,017","7,707","4,084","3,854","2,080","1,927"
13-Jul-21,"8,037","7,726","4,094","3,863","2,085","1,932"
14-Jul-21,"8,047","7,735","4,100","3,868","2,088","1,934"
16-Jul-21,"8,155","7,842","4,154","3,921","2,116","1,961"
19-Jul-21,"8,110","7,790","4,132","3,895","2,104","1,948"
21-Jul-21,"8,111","7,794","4,132","3,897","2,104","1,948"
22-Jul-21,"8,087","7,768","4,120","3,884","2,098","1,942"
23-Jul-21,"8,097","7,783","4,125","3,892","2,101","1,946"
26-Jul-21,"8,067","7,757","4,110","3,878","2,093","1,939"
27-Jul-21,"8,058","7,748","4,105","3,874","2,090","1,937"
29-Jul-21,"8,112","7,797","4,132","3,899","2,104","1,949"
30-Jul-21,"8,217","7,888","4,186","3,944","2,132","1,972"
02-Aug-21,"8,131","7,811","4,142","3,906","2,109","1,953"
03-Aug-21,"8,120","7,804","4,136","3,902","2,107","1,951"
04-Aug-21,"8,123","7,809","4,138","3,904","2,107","1,952"
05-Aug-21,"8,116","7,800","4,134","3,900","2,105","1,950"
06-Aug-21,"8,061","7,746","4,107","3,873","2,091","1,936"
09-Aug-21,"7,722","7,415","3,934","3,708","2,003","1,854"
11-Aug-21,"7,755","7,453","3,951","3,726","2,012","1,863"
12-Aug-21,"7,877","7,570","4,013","3,785","2,044","1,892"
13-Aug-21,"7,872","7,571","4,010","3,786","2,042","1,893"
16-Aug-21,"7,997","7,686","4,074","3,843","2,075","1,922"
17-Aug-21,"8,031","7,718","4,091","3,859","2,084","1,929"
18-Aug-21,"8,049","7,727","4,100","3,864","2,088","1,932"
19-Aug-21,"8,028","7,717","4,090","3,858","2,083","1,929"
20-Aug-21,"8,005","7,693","4,078","3,846","2,077","1,923"
23-Aug-21,"7,984","7,670","4,067","3,835","2,071","1,918"
24-Aug-21,"8,078","7,763","4,115","3,882","2,096","1,941"
25-Aug-21,"8,049","7,740","4,101","3,870","2,088","1,935"
26-Aug-21,"7,984","7,676","4,067","3,838","2,071","1,919"
27-Aug-21,"7,983","7,672","4,067","3,836","2,071","1,918"
30-Aug-21,"8,062","7,747","4,107","3,873","2,092","1,937"
01-Sep-21,"7,986","7,676","4,069","3,838","2,072","1,919"
02-Sep-21,"7,989","7,678","4,070","3,839","2,073","1,920"
03-Sep-21,"7,965","7,657","4,057","3,828","2,066","1,914"
06-Sep-21,"8,031","7,715","4,091","3,857","2,084","1,929"
07-Sep-21,"8,032","7,719","4,092","3,860","2,084","1,930"
08-Sep-21,"7,926","7,620","4,038","3,810","2,056","1,905"
09-Sep-21,"7,882","7,576","4,015","3,788","2,045","1,894"
10-Sep-21,"7,900","7,594","4,025","3,797","2,050","1,898"
13-Sep-21,"7,856","7,546","4,002","3,773","2,038","1,886"
14-Sep-21,"7,888","7,582","4,018","3,791","2,046","1,895"
15-Sep-21,"7,962","7,654","4,056","3,827","2,066","1,913"
20-Sep-21,"7,780","7,477","3,963","3,739","2,018","1,869"
21-Sep-21,"7,848","7,542","3,998","3,771","2,036","1,886"
22-Sep-21,"7,886","7,580","4,017","3,790","2,046","1,895"
24-Sep-21,"7,740","7,442","3,943","3,721","2,008","1,861"
27-Sep-21,"7,778","7,476","3,962","3,738","2,018","1,869"
28-Sep-21,"7,778","7,475","3,962","3,738","2,018","1,869"
29-Sep-21,"7,706","7,406","3,926","3,703","1,999","1,851"
30-Sep-21,"7,693","7,394","3,919","3,697","1,996","1,848"
01-Oct-21,"7,769","7,467","3,958","3,733","2,016","1,867"
04-Oct-21,"7,826","7,507","3,987","3,754","2,030","1,877"
05-Oct-21,"7,827","7,520","3,987","3,760","2,030","1,880"
06-Oct-21,"7,793","7,490","3,970","3,745","2,022","1,872"
07-Oct-21,"7,819","7,515","3,983","3,757","2,028","1,879"
08-Oct-21,"7,780","7,478","3,963","3,739","2,018","1,870"
11-Oct-21,"7,784","7,473","3,966","3,736","2,020","1,868"
12-Oct-21,"7,755","7,451","3,950","3,726","2,012","1,863"
13-Oct-21,"7,785","7,485","3,966","3,743","2,020","1,871"
14-Oct-21,"7,894","7,583","4,021","3,792","2,048","1,896"
15-Oct-21,"7,914","7,608","4,032","3,804","2,053","1,902"
18-Oct-21,"7,806","7,504","3,977","3,752","2,025","1,876"
20-Oct-21,"7,793","7,494","3,970","3,747","2,022","1,873"
21-Oct-21,"7,853","7,552","4,001","3,776","2,037","1,888"
22-Oct-21,"7,871","7,565","4,010","3,782","2,042","1,891"
25-Oct-21,"7,903","7,595","4,026","3,797","2,050","1,899"
26-Oct-21,"7,953","7,648","4,051","3,824","2,063","1,912"
27-Oct-21,"7,896","7,589","4,022","3,794","2,048","1,897"
28-Oct-21,"7,907","7,600","4,028","3,800","2,051","1,900"
29-Oct-21,"7,904","7,598","4,027","3,799","2,051","1,899"
01-Nov-21,"7,838","7,533","3,993","3,766","2,033","1,883"
02-Nov-21,"7,884","7,578","4,017","3,789","2,045","1,894"
03-Nov-21,"7,872","7,568","4,010","3,784","2,042","1,892"
05-Nov-21,"7,903","7,596","4,026","3,798","2,050","1,899"
08-Nov-21,"7,997","7,686","4,074","3,843","2,075","1,921"
09-Nov-21,"8,033","7,722","4,092","3,861","2,084","1,931"
10-Nov-21,"8,055","7,747","4,103","3,874","2,090","1,937"
11-Nov-21,"8,167","7,850","4,161","3,925","2,119","1,962"
12-Nov-21,"8,228","7,910","4,192","3,955","2,135","1,978"
15-Nov-21,"8,237","7,917","4,196","3,958","2,137","1,979"
16-Nov-21,"8,232","7,914","4,194","3,957","2,136","1,979"
17-Nov-21,"8,198","7,883","4,176","3,942","2,127","1,971"
18-Nov-21,"8,271","7,950","4,214","3,975","2,146","1,987"
19-Nov-21,"8,246","7,925","4,201","3,962","2,139","1,981"
22-Nov-21,"8,199","7,880","4,177","3,940","2,127","1,970"
23-Nov-21,"8,038","7,726","4,095","3,863","2,085","1,931"
24-Nov-21,"7,979","7,671","4,065","3,835","2,070","1,918"
25-Nov-21,"8,008","7,699","4,079","3,850","2,077","1,925"
26-Nov-21,"8,038","7,726","4,095","3,863","2,085","1,931"
29-Nov-21,"8,050","7,737","4,101","3,869","2,089","1,934"
30-Nov-21,"8,024","7,716","4,088","3,858","2,082","1,929"
01-Dec-21,"7,914","7,607","4,032","3,803","2,053","1,902"
02-Dec-21,"7,966","7,660","4,058","3,830","2,067","1,915"
03-Dec-21,"7,944","7,640","4,047","3,820","2,061","1,910"
06-Dec-21,"8,010","7,701","4,080","3,850","2,078","1,925"
07-Dec-21,"7,998","7,687","4,074","3,843","2,075","1,922"
08-Dec-21,"7,999","7,690","4,075","3,845","2,075","1,923"
09-Dec-21,"7,981","7,671","4,066","3,835","2,071","1,918"
10-Dec-21,"7,957","7,648","4,053","3,824","2,064","1,912"
13-Dec-21,"7,968","7,661","4,059","3,831","2,067","1,915"
14-Dec-21,"8,011","7,693","4,081","3,847","2,078","1,923"
15-Dec-21,"7,961","7,656","4,056","3,828","2,065","1,914"
16-Dec-21,"7,984","7,669","4,068","3,834","2,071","1,917"
17-Dec-21,"8,039","7,727","4,095","3,863","2,086","1,932"
20-Dec-21,"8,085","7,762","4,119","3,881","2,098","1,940"
21-Dec-21,"8,029","7,721","4,090","3,860","2,083","1,930"
23-Dec-21,"8,056","7,736","4,104","3,868","2,090","1,934"
24-Dec-21,"8,065","7,742","4,109","3,871","2,092","1,936"
27-Dec-21,"8,049","7,736","4,100","3,868","2,088","1,934"
28-Dec-21,"8,039","7,726","4,095","3,863","2,086","1,932"
29-Dec-21,"8,001","7,692","4,076","3,846","2,076","1,923"
30-Dec-21,"7,989","7,677","4,070","3,838","2,073","1,919"
31-Dec-21,"8,043","7,730","4,097","3,865","2,087","1,933"
03-Jan-22,"8,075","7,765","4,114","3,883","2,095","1,941"
04-Jan-22,"8,002","7,692","4,076","3,846","2,076","1,923"
05-Jan-22,"8,058","7,747","4,105","3,873","2,091","1,937"
06-Jan-22,"8,059","7,746","4,105","3,873","2,091","1,937"
07-Jan-22,"8,012","7,704","4,082","3,852","2,079","1,926"
10-Jan-22,"7,992","7,683","4,071","3,841","2,073","1,921"
11-Jan-22,"8,035","7,724","4,093","3,862","2,084","1,931"
12-Jan-22,"8,093","7,775","4,123","3,888","2,100","1,944"
13-Jan-22,"8,077","7,765","4,115","3,882","2,095","1,941"
14-Jan-22,"8,072","7,760","4,112","3,880","2,094","1,940"
17-Jan-22,"8,063","7,754","4,108","3,877","2,092","1,938"
19-Jan-22,"8,059","7,747","4,105","3,874","2,091","1,937"
20-Jan-22,"8,179","7,863","4,166","3,931","2,122","1,966"
21-Jan-22,"8,176","7,860","4,165","3,930","2,121","1,965"
24-Jan-22,"8,143","7,826","4,148","3,913","2,112","1,957"
26-Jan-22,"8,215","7,897","4,185","3,949","2,131","1,974"
27-Jan-22,"8,115","7,802","4,134","3,901","2,105","1,950"
03-Feb-22,"8,015","7,697","4,083","3,848","2,079","1,924"
04-Feb-22,"8,000","7,688","4,076","3,844","2,076","1,922"
07-Feb-22,"8,042","7,732","4,097","3,866","2,086","1,933"
08-Feb-22,"8,078","7,765","4,115","3,882","2,096","1,941"
09-Feb-22,"8,099","7,788","4,126","3,894","2,101","1,947"
10-Feb-22,"8,130","7,815","4,142","3,908","2,109","1,954"
11-Feb-22,"8,118","7,804","4,136","3,902","2,106","1,951"
14-Feb-22,"8,263","7,945","4,209","3,973","2,144","1,986"
15-Feb-22,"8,315","7,992","4,236","3,996","2,157","1,998"
16-Feb-22,"8,217","7,899","4,186","3,949","2,132","1,975"
17-Feb-22,"8,300","7,978","4,228","3,989","2,153","1,995"
18-Feb-22,"8,436","8,109","4,297","4,055","2,188","2,027"
21-Feb-22,"8,476","8,140","4,318","4,070","2,199","2,035"
22-Feb-22,"8,489","8,163","4,325","4,082","2,202","2,041"
23-Feb-22,"8,425","8,099","4,292","4,050","2,186","2,025"
24-Feb-22,"8,485","8,159","4,323","4,080","2,201","2,040"
25-Feb-22,"8,496","8,165","4,328","4,083","2,204","2,041"
28-Feb-22,"8,522","8,181","4,341","4,090","2,211","2,045"
01-Mar-22,"8,484","8,158","4,322","4,079","2,201","2,039"
02-Mar-22,"8,655","8,320","4,409","4,160","2,245","2,080"
03-Mar-22,"8,575","8,242","4,368","4,121","2,225","2,060"
04-Mar-22,"8,619","8,286","4,391","4,143","2,236","2,071"
07-Mar-22,"8,814","8,472","4,490","4,236","2,287","2,118"
08-Mar-22,"8,875","8,531","4,521","4,265","2,302","2,133"
09-Mar-22,"9,074","8,723","4,622","4,362","2,354","2,181"
10-Mar-22,"8,821","8,480","4,494","4,240","2,288","2,120"
14-Mar-22,"8,778","8,433","4,472","4,216","2,277","2,108"
15-Mar-22,"8,702","8,365","4,433","4,183","2,257","2,091"
16-Mar-22,"8,572","8,241","4,367","4,120","2,224","2,060"
17-Mar-22,"8,568","8,236","4,365","4,118","2,223","2,059"
18-Mar-22,"8,644","8,308","4,404","4,154","2,243","2,077"
21-Mar-22,"8,551","8,219","4,356","4,109","2,219","2,055"
22-Mar-22,"8,638","8,302","4,401","4,151","2,241","2,076"
23-Mar-22,"8,578","8,244","4,370","4,122","2,225","2,061"
24-Mar-22,"8,720","8,381","4,442","4,191","2,262","2,095"
25-Mar-22,"8,786","8,445","4,476","4,222","2,279","2,111"
28-Mar-22,"8,745","8,408","4,455","4,204","2,269","2,102"
29-Mar-22,"8,603","8,269","4,383","4,134","2,232","2,067"
30-Mar-22,"8,561","8,233","4,361","4,117","2,221","2,058"
31-Mar-22,"8,607","8,272","4,385","4,136","2,233","2,068"
04-Apr-22,"8,613","8,276","4,388","4,138","2,234","2,069"
05-Apr-22,"8,647","8,311","4,405","4,156","2,243","2,078"
06-Apr-22,"8,597","8,263","4,380","4,132","2,230","2,066"
07-Apr-22,"8,611","8,278","4,387","4,139","2,234","2,070"
08-Apr-22,"8,653","8,319","4,408","4,160","2,245","2,080"
11-Apr-22,"8,716","8,380","4,440","4,190","2,261","2,095"
12-Apr-22,"8,776","8,437","4,471","4,218","2,277","2,109"
13-Apr-22,"8,819","8,477","4,493","4,238","2,288","2,119"
14-Apr-22,"8,853","8,510","4,510","4,255","2,297","2,127"
15-Apr-22,"8,871","8,522","4,519","4,261","2,301","2,130"
18-Apr-22,"8,921","8,575","4,545","4,287","2,314","2,144"
20-Apr-22,"8,827","8,484","4,497","4,242","2,290","2,121"
21-Apr-22,"8,883","8,533","4,525","4,267","2,305","2,133"
22-Apr-22,"8,910","8,564","4,539","4,282","2,312","2,141"
25-Apr-22,"8,878","8,533","4,523","4,266","2,303","2,133"
26-Apr-22,"8,775","8,434","4,470","4,217","2,276","2,108"
27-Apr-22,"8,806","8,466","4,486","4,233","2,285","2,116"
28-Apr-22,"8,715","8,381","4,440","4,190","2,261","2,095"
29-Apr-22,"8,779","8,436","4,472","4,218","2,278","2,109"
05-May-22,"8,728","8,388","4,446","4,194","2,264","2,097"
06-May-22,"8,661","8,325","4,412","4,162","2,247","2,081"
09-May-22,"8,722","8,384","4,443","4,192","2,263","2,096"
10-May-22,"8,616","8,280","4,389","4,140","2,235","2,070"
11-May-22,"8,528","8,196","4,344","4,098","2,212","2,049"
12-May-22,"8,612","8,278","4,387","4,139","2,234","2,069"
13-May-22,"8,498","8,167","4,329","4,083","2,205","2,042"
17-May-22,"8,525","8,187","4,343","4,094","2,212","2,047"
18-May-22,"8,454","8,120","4,307","4,060","2,193","2,030"
19-May-22,"8,482","8,151","4,321","4,075","2,200","2,038"
20-May-22,"8,589","8,253","4,376","4,127","2,228","2,063"
23-May-22,"8,601","8,269","4,382","4,134","2,231","2,067"
24-May-22,"8,633","8,298","4,398","4,149","2,240","2,075"
25-May-22,"8,686","8,349","4,425","4,174","2,253","2,087"
26-May-22,"8,637","8,303","4,400","4,152","2,241","2,076"
27-May-22,"8,628","8,295","4,395","4,147","2,238","2,074"
30-May-22,"8,597","8,263","4,380","4,132","2,230","2,066"
31-May-22,"8,579","8,245","4,370","4,122","2,226","2,061"
01-Jun-22,"8,524","8,193","4,342","4,096","2,211","2,048"
02-Jun-22,"8,606","8,274","4,384","4,137","2,233","2,069"
03-Jun-22,"8,696","8,354","4,430","4,177","2,256","2,089"
07-Jun-22,"8,578","8,237","4,370","4,119","2,225","2,059"
08-Jun-22,"8,630","8,292","4,396","4,146","2,239","2,073"
09-Jun-22,"8,638","8,303","4,400","4,152","2,241","2,076"
10-Jun-22,"8,620","8,284","4,392","4,142","2,236","2,071"
13-Jun-22,"8,764","8,428","4,465","4,214","2,274","2,107"
14-Jun-22,"8,553","8,218","4,357","4,109","2,219","2,054"
15-Jun-22,"8,486","8,157","4,323","4,078","2,202","2,039"
16-Jun-22,"8,563","8,230","4,362","4,115","2,221","2,058"
17-Jun-22,"8,620","8,286","4,391","4,143","2,236","2,072"
20-Jun-22,"8,586","8,252","4,374","4,126","2,227","2,063"
21-Jun-22,"8,581","8,249","4,372","4,124","2,226","2,062"
22-Jun-22,"8,537","8,208","4,349","4,104","2,215","2,052"
23-Jun-22,"8,580","8,248","4,371","4,124","2,226","2,062"
24-Jun-22,"8,528","8,198","4,345","4,099","2,213","2,050"
27-Jun-22,"8,537","8,206","4,349","4,103","2,215","2,051"
28-Jun-22,"8,522","8,191","4,341","4,095","2,211","2,048"
29-Jun-22,"8,492","8,163","4,326","4,081","2,203","2,041"
30-Jun-22,"8,493","8,165","4,327","4,083","2,203","2,041"
01-Jul-22,"8,441","8,113","4,300","4,057","2,190","2,028"
04-Jul-22,"8,462","8,137","4,311","4,068","2,195","2,034"
05-Jul-22,"8,463","8,134","4,311","4,067","2,196","2,034"
06-Jul-22,"8,298","7,980","4,227","3,990","2,153","1,995"
07-Jul-22,"8,163","7,850","4,159","3,925","2,118","1,962"
08-Jul-22,"8,175","7,858","4,165","3,929","2,121","1,964"
12-Jul-22,"8,155","7,840","4,155","3,920","2,116","1,960"
13-Jul-22,"8,119","7,803","4,136","3,902","2,106","1,951"
15-Jul-22,"8,066","7,753","4,109","3,877","2,093","1,938"
18-Jul-22,"8,042","7,728","4,097","3,864","2,086","1,932"
19-Jul-22,"8,062","7,749","4,107","3,874","2,092","1,937"
20-Jul-22,"8,072","7,760","4,112","3,880","2,094","1,940"
21-Jul-22,"8,004","7,695","4,077","3,847","2,076","1,924"
22-Jul-22,"8,116","7,802","4,135","3,901","2,106","1,951"
25-Jul-22,"8,135","7,821","4,144","3,911","2,111","1,955"
26-Jul-22,"8,120","7,809","4,136","3,904","2,106","1,952"
28-Jul-22,"8,209","7,891","4,182","3,946","2,130","1,973"
29-Jul-22,"8,276","7,957","4,216","3,979","2,147","1,989"
01-Aug-22,"8,321","8,002","4,239","4,001","2,159","2,000"
02-Aug-22,"8,369","8,044","4,263","4,022","2,171","2,011"
03-Aug-22,"8,314","7,994","4,235","3,997","2,157","1,999"
04-Aug-22,"8,337","8,015","4,247","4,007","2,163","2,004"
05-Aug-22,"8,466","8,136","4,313","4,068","2,196","2,034"
08-Aug-22,"8,390","8,055","4,274","4,028","2,177","2,014"
09-Aug-22,"8,456","8,131","4,308","4,065","2,194","2,033"
10-Aug-22,"8,477","8,150","4,319","4,075","2,199","2,037"
11-Aug-22,"8,425","8,104","4,292","4,052","2,186","2,026"
12-Aug-22,"8,432","8,107","4,296","4,053","2,188","2,027"
15-Aug-22,"8,483","8,154","4,322","4,077","2,201","2,039"
16-Aug-22,"8,421","8,096","4,290","4,048","2,185","2,024"
17-Aug-22,"8,408","8,084","4,283","4,042","2,181","2,021"
18-Aug-22,"8,363","8,039","4,261","4,019","2,170","2,010"
19-Aug-22,"8,340","8,022","4,249","4,011","2,164","2,005"
22-Aug-22,"8,303","7,984","4,230","3,992","2,154","1,996"
23-Aug-22,"8,265","7,944","4,210","3,972","2,144","1,986"
24-Aug-22,"8,312","7,990","4,234","3,995","2,156","1,997"
25-Aug-22,"8,331","8,012","4,244","4,006","2,161","2,003"
26-Aug-22,"8,324","8,003","4,240","4,001","2,159","2,001"
29-Aug-22,"8,242","7,927","4,199","3,963","2,138","1,982"
30-Aug-22,"8,272","7,953","4,214","3,977","2,146","1,988"
01-Sep-22,"8,123","7,808","4,138","3,904","2,107","1,952"
02-Sep-22,"8,078","7,769","4,115","3,884","2,096","1,942"
05-Sep-22,"8,133","7,817","4,143","3,909","2,110","1,954"
06-Sep-22,"8,169","7,852","4,162","3,926","2,119","1,963"
07-Sep-22,"8,128","7,815","4,141","3,908","2,109","1,954"
08-Sep-22,"8,190","7,872","4,172","3,936","2,125","1,968"
09-Sep-22,"8,168","7,851","4,161","3,925","2,119","1,963"
12-Sep-22,"8,187","7,872","4,171","3,936","2,124","1,968"
13-Sep-22,"8,249","7,931","4,203","3,966","2,140","1,983"
14-Sep-22,"8,157","7,846","4,156","3,923","2,116","1,961"
15-Sep-22,"8,147","7,831","4,150","3,915","2,114","1,958"
19-Sep-22,"8,067","7,753","4,110","3,877","2,093","1,938"
20-Sep-22,"8,097","7,783","4,125","3,892","2,101","1,946"
21-Sep-22,"8,061","7,751","4,106","3,876","2,091","1,938"
22-Sep-22,"8,057","7,748","4,104","3,874","2,090","1,937"
23-Sep-22,"8,107","7,792","4,130","3,896","2,103","1,948"
26-Sep-22,"7,995","7,690","4,073","3,845","2,074","1,922"
27-Sep-22,"7,959","7,652","4,055","3,826","2,065","1,913"
28-Sep-22,"7,972","7,668","4,061","3,834","2,068","1,917"
29-Sep-22,"8,116","7,803","4,135","3,901","2,106","1,951"
29-Sep-22,"8,116","7,803","4,135","3,901","2,106","1,951"
30-Sep-22,"8,178","7,861","4,166","3,931","2,122","1,965"
03-Oct-22,"8,196","7,874","4,176","3,937","2,126","1,969"
04-Oct-22,"8,371","8,045","4,265","4,023","2,172","2,011"
05-Oct-22,"8,490","8,159","4,325","4,080","2,203","2,040"
06-Oct-22,"8,455","8,123","4,307","4,061","2,193","2,031"
07-Oct-22,"8,430","8,105","4,295","4,053","2,187","2,026"
11-Oct-22,"8,268","7,944","4,212","3,972","2,145","1,986"
12-Oct-22,"8,241","7,923","4,198","3,961","2,138","1,981"
13-Oct-22,"8,307","7,988","4,232","3,994","2,155","1,997"
14-Oct-22,"8,276","7,960","4,216","3,980","2,147","1,990"
17-Oct-22,"8,222","7,904","4,189","3,952","2,133","1,976"
18-Oct-22,"8,259","7,931","4,208","3,965","2,143","1,983"
19-Oct-22,"8,263","7,944","4,210","3,972","2,144","1,986"
20-Oct-22,"8,158","7,846","4,156","3,923","2,116","1,961"
21-Oct-22,"8,156","7,840","4,155","3,920","2,116","1,960"
25-Oct-22,"8,308","7,989","4,233","3,995","2,156","1,997"
26-Oct-22,"8,281","7,964","4,219","3,982","2,148","1,991"
27-Oct-22,"8,331","8,008","4,244","4,004","2,161","2,002"
28-Oct-22,"8,314","7,990","4,235","3,995","2,157","1,997"
31-Oct-22,"8,239","7,915","4,197","3,957","2,137","1,979"
01-Nov-22,"8,190","7,872","4,172","3,936","2,125","1,968"
02-Nov-22,"8,289","7,964","4,223","3,982","2,150","1,991"
03-Nov-22,"8,224","7,905","4,190","3,952","2,134","1,976"
04-Nov-22,"8,208","7,889","4,181","3,944","2,129","1,972"
07-Nov-22,"8,423","8,091","4,291","4,046","2,185","2,023"
08-Nov-22,"8,415","8,085","4,287","4,042","2,183","2,021"
09-Nov-22,"8,583","8,251","4,372","4,126","2,227","2,063"
10-Nov-22,"8,498","8,162","4,329","4,081","2,205","2,041"
11-Nov-22,"8,649","8,312","4,406","4,156","2,244","2,078"
14-Nov-22,"8,643","8,290","4,403","4,145","2,242","2,073"
15-Nov-22,"8,619","8,276","4,391","4,138","2,236","2,069"
16-Nov-22,"8,560","8,219","4,361","4,110","2,221","2,055"
17-Nov-22,"8,556","8,216","4,359","4,108","2,220","2,054"
21-Nov-22,"8,498","8,148","4,329","4,074","2,205","2,037"
22-Nov-22,"8,465","8,128","4,313","4,064","2,196","2,032"
23-Nov-22,"8,462","8,118","4,311","4,059","2,195","2,030"
24-Nov-22,"8,491","8,152","4,325","4,076","2,203","2,038"
25-Nov-22,"8,337","8,008","4,247","4,004","2,163","2,002"
29-Nov-22,"8,292","7,959","4,224","3,979","2,151","1,990"
30-Nov-22,"8,378","8,040","4,268","4,020","2,173","2,010"
01-Dec-22,"8,339","7,995","4,248","3,997","2,164","1,999"
02-Dec-22,"8,385","8,059","4,271","4,030","2,175","2,015"
05-Dec-22,"8,373","8,041","4,266","4,020","2,172","2,010"
06-Dec-22,"8,242","7,908","4,199","3,954","2,138","1,977"
07-Dec-22,"8,262","7,934","4,209","3,967","2,143","1,983"
08-Dec-22,"8,327","7,992","4,242","3,996","2,160","1,998"
09-Dec-22,"8,336","8,003","4,247","4,002","2,163","2,001"
12-Dec-22,"8,405","8,060","4,282","4,030","2,180","2,015"
13-Dec-22,"8,356","8,033","4,257","4,016","2,168","2,008"
14-Dec-22,"8,475","8,136","4,317","4,068","2,199","2,034"
15-Dec-22,"8,438","8,098","4,298","4,049","2,189","2,024"
16-Dec-22,"8,349","8,012","4,253","4,006","2,166","2,003"
